2019,17-03-2019,"I","violet","2nd Sunday of Lent",""
2019,18-03-2019,"III","violet","Feria of Lent","St.Cyril Bishop of Jerusalem, Confessor, and Doctor of the Church, III class."
2019,19-03-2019,"I","white","St. Joseph, Spouse of the Blessed Virgin Mary, Confessor, and Patron of the Universal Church, I class.",""
2019,20-03-2019,"III","violet","Feria of Lent",""
2019,21-03-2019,"III","violet","Feria of Lent","St. Benedict Abbot, III class."
2019,22-03-2019,"III","violet","Feria of Lent",""
2019,23-03-2019,"III","violet","Feria of Lent",""
2019,24-03-2019,"I","violet","3rd Sunday of Lent",""
2019,25-03-2019,"I","white","Annunciation of the Blessed Virgin Mary, I class.",""
2019,26-03-2019,"III","violet","Feria of Lent",""
2019,27-03-2019,"III","violet","Feria of Lent","St. John Damascene Confessor and Doctor of the Church, III class"
2019,28-03-2019,"III","violet","Feria of Lent","St. John Capistran Confessor, III class"
2019,29-03-2019,"III","violet","Feria of Lent",""
2019,30-03-2019,"III","violet","Feria of Lent",""
2019,31-03-2019,"I","rose","Laetare Sunday",""
2019,01-04-2019,"III","violet","Feria of Lent",""
2019,02-04-2019,"III","violet","Feria of Lent","St. Francis of Paula Confessor, III class."
2019,03-04-2019,"III","violet","Feria of Lent",""
2019,04-04-2019,"III","violet","Feria of Lent","St. Isidore Bishop, Confessor, and Doctor of the Church, III class."
2019,05-04-2019,"III","violet","Feria of Lent","St. Vincent Ferrer Confessor, III class."
2019,06-04-2019,"III","violet","Feria of Lent",""
2019,07-04-2019,"I","violet","Passion Sunday",""
2019,08-04-2019,"III","violet","Monday of Passion Week",""
2019,09-04-2019,"III","violet","Tuesday of Passion Week",""
2019,10-04-2019,"III","violet","Wednesday of Passion Week",""
2019,11-04-2019,"III","violet","Thursday of Passion Week","St. Leo I Pope, Confessor, and Doctor of the Church, III class."
2019,12-04-2019,"III","violet","Friday of Passion Week","Feast of the Seven Sorrows of Mary"
2019,13-04-2019,"III","violet","Saturday of Passion Week","St. Hermenegild Martyr, III class."
2019,14-04-2019,"I","violet","Palm Sunday of the Passion of the Lord",""
2019,15-04-2019,"I","violet","Monday of Holy Week",""
2019,16-04-2019,"I","violet","Tuesday of Holy Week",""
2019,17-04-2019,"I","violet","Wednesday of Holy Week",""
2019,18-04-2019,"I","violet","Maundy Thursday",""
2019,19-04-2019,"I","black","Friday of the Passion of the Lord",""
2019,20-04-2019,"I","violet","Holy Saturday",""
2019,21-04-2019,"I","white","Easter Sunday of the Resurrection of the Lord",""
2019,22-04-2019,"I","white","Easter Monday",""
2019,23-04-2019,"I","white","Easter Tuesday",""
2019,24-04-2019,"I","white","Easter Wednesday",""
2019,25-04-2019,"I","white","Easter Thursday","The Greater Litanies"
2019,26-04-2019,"I","white","Easter Friday",""
2019,27-04-2019,"I","white","Easter Saturday",""
2019,28-04-2019,"I","white","Low Sunday",""
2019,29-04-2019,"III","red","St. Peter Martyr, III class.",""
2019,30-04-2019,"III","white","St. Catherine of Siena Virgin, III class.",""
2019,01-05-2019,"I","white","St. Joseph the Workman, Spouse of the Blessed Virgin Mary, Confessor, I class.",""
2019,02-05-2019,"III","white","St. Athanasius, Bishop, Confessor, and Doctor of the Church, III class.",""
2019,03-05-2019,"IV","white","Feria of Paschaltide","Commemoration of Ss. Alexander, Eventius and Theodulus Martyrs, and Juvenal, Bishop and Confessor, Comm."
2019,04-05-2019,"III","white","Votive Mass of the Immaculate Heart of the Blessed Virgin Mary (in Eastertide)","St. Monica Widow, III class."
2019,05-05-2019,"II","white","Misericordia Sunday",""
2019,06-05-2019,"IV","red","St. John before the Latin Gate.",""
2019,07-05-2019,"III","white","St. Stanislaus Bishop and Martyr, III class.",""
2019,08-05-2019,"IV","white","Feria of Paschaltide",""
2019,09-05-2019,"III","white","St. Gregory Nazianzen Bishop, Confessor, and Doctor of the Church, III class.",""
2019,10-05-2019,"III","white","St. Antoninus Bishop and Confessor, III class","Com. of Ss. Gordian and Epimachus."
2019,11-05-2019,"II","red","Ss. Philip and James Apostles, II class.",""
2019,12-05-2019,"II","white","Jubilate Sunday",""
2019,13-05-2019,"III","white","St. Robert Bellarmine Bishop, Confessor, and Doctor of the Church, III class.",""
2019,14-05-2019,"IV","white","Feria of Paschaltide","Commemoration of St. Boniface Martyr, Comm."
2019,15-05-2019,"III","white","St. John Baptist de la Salle Confessor, III class.",""
2019,16-05-2019,"III","white","St. Ubald Bishop and Confessor, III class.",""
2019,17-05-2019,"III","white","St. Paschal Baylon Confessor, III class.",""
2019,18-05-2019,"III","red","St. Venantius Martyr, III class.",""
2019,19-05-2019,"II","white","Cantate Sunday",""
2019,20-05-2019,"III","white","St. Bernardine of Siena Confessor, III class.",""
2019,21-05-2019,"IV","white","Feria of Paschaltide",""
2019,22-05-2019,"IV","white","Feria of Paschaltide",""
2019,23-05-2019,"IV","white","Feria of Paschaltide",""
2019,24-05-2019,"IV","white","Feria of Paschaltide",""
