"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2019,2-12-2018,"Sunday","I","+","violet","1st Sunday of Advent","","./1962/Advent/Sunday/1/"
2019,3-12-2018,"Monday","III","","white","Mass Roráte cœli désuper","","./1962/12/3/"
2019,4-12-2018,"Tuesday","III","","white","St. Peter Chrysologus Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Barbara Virgin and Martyr.","./1962/12/4/"
2019,5-12-2018,"Wednesday","III","","violet","Feria of Advent","Commemoration of St. Sabbas Abbot, Comm.","./1962/12/5/"
2019,6-12-2018,"Thursday","III","","white","St. Nicholas Bishop and Confessor, III class.","","./1962/12/6/"
2019,7-12-2018,"Friday","III","","white","St. Ambrose Bishop, Confessor, and Doctor of the Church, III class.","","./1962/12/7/"
2019,8-12-2018,"Saturday","I","+","white","On the Immaculate Conception of the Blessed Virgin Mary, I class.","","./1962/12/8/"
2019,9-12-2018,"Sunday","I","+","violet","2nd Sunday of Advent","","./1962/Advent/Sunday/2/"
2019,10-12-2018,"Monday","III","","violet","Feria of Advent","Commemoration of St. Melchiades Pope and Martyr, Comm.","./1962/12/10/"
2019,11-12-2018,"Tuesday","III","","white","St. Damasus I Pope and Confessor, III class.","","./1962/12/11/"
2019,12-12-2018,"Wednesday","III","","violet","Feria of Advent","","./1962/12/12/"
2019,13-12-2018,"Thursday","III","","red","St. Lucy Virgin and Martyr, III class.","","./1962/12/13/"
2019,14-12-2018,"Friday","III","","violet","Feria of Advent","","./1962/12/14/"
2019,15-12-2018,"Saturday","III","","violet","Feria of Advent","","./1962/12/15/"
2019,16-12-2018,"Sunday","I","+","rose","Gaudete Sunday","","./1962/Advent/Sunday/3/"
2019,17-12-2018,"Monday","II","","violet","Greater Feria of Advent","","./1962/12/17/"
2019,18-12-2018,"Tuesday","II","","violet","Greater Feria of Advent","","./1962/12/18/"
2019,19-12-2018,"Wednesday","II","","violet","Ember Wednesday of Advent","","./1962/Advent/Ember/Wednesday/"
2019,20-12-2018,"Thursday","II","","violet","Greater Feria of Advent","","./1962/12/20/"
2019,21-12-2018,"Friday","II","","white","St. Thomas Apostle, II class.","Ember Friday of Avent","./1962/Advent/Ember/Friday/"
2019,22-12-2018,"Saturday","II","","violet","Ember Saturday of Advent","","./1962/Advent/Ember/Saturday/"
2019,23-12-2018,"Sunday","I","+","violet","4th Sunday of Advent","","./1962/Advent/Sunday/4/"
2019,24-12-2018,"Monday","I","","white","Vigil of the Nativity of Our Lord","","./1962/12/24/"
2019,25-12-2018,"Tuesday","I","+","white","The Nativity of Our Lord, First Mass at Midnight","","./1962/Christmas/Day/"
2019,26-12-2018,"Wednesday","II","","red","II day within the octave of the Nativity of the Lord: St. Stephen Protomartyr, II class.","","./1962/12/26/"
2019,27-12-2018,"Thursday","II","","white","III day within the octave of the Nativity of the Lord: St. John Apostle and Evangelist, II class.","","./1962/12/27/"
2019,28-12-2018,"Friday","II","","red","IV day within the octave of the Nativity of the Lord: The Holy Innocents, II class.","","./1962/12/28/"
2019,29-12-2018,"Saturday","II","","white","Of the V day within the octave of the Nativity of the Lord, II class","Commemoration of St. Thomas Bishop and Martyr.","./1962/12/29/"
2019,30-12-2018,"Sunday","II","+","white","Sunday in the Octave of Christmas","","./1962/Christmas/Sunday/"
2019,31-12-2018,"Monday","II","","white","Of the VII day within the Octave of the Nativity, II class","Commemoration of St. Sylvester I Pope and Confessor.","./1962/12/31/"
2019,1-1-2019,"Tuesday","I","","white","Octave of the Nativity of the Lord, I class.","","./1962/1/1/"
2019,2-1-2019,"Wednesday","II","","white","Feast of the Holy Name of Jesus","","./1962/Christmas/HolyName/"
2019,3-1-2019,"Thursday","IV","","white","Feria in Christmastide","","./1962/1/3/"
2019,4-1-2019,"Friday","IV","","white","Feria in Christmastide","","./1962/1/4/"
2019,5-1-2019,"Saturday","IV","","white","Saturday of Our Lady","Commemoration of St. Telesphorus Pope and Martyr, Comm.","./1962/1/5/"
2019,6-1-2019,"Sunday","I","+","white","On the Epiphany of the Lord, I class.","","./1962/1/6/"
2019,7-1-2019,"Monday","IV","","white","Plough Monday","","./1962/Epiphany/1/Sunday/"
2019,8-1-2019,"Tuesday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2019,9-1-2019,"Wednesday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2019,10-1-2019,"Thursday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2019,11-1-2019,"Friday","IV","","white","Feria","Commemoration of St. Hyginus Pope and Martyr, Comm.","./1962/1/11/"
2019,12-1-2019,"Saturday","IV","","white","Saturday of Our Lady","","./1962/Epiphany/1/Sunday/"
2019,13-1-2019,"Sunday","II","+","white","Feast of the Holy Family","","./1962/Christmas/HolyFamily/"
2019,14-1-2019,"Monday","III","","white","St. Hilary Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Felix Priest and Martyr.","./1962/1/14/"
2019,15-1-2019,"Tuesday","III","","white","St. Paul the First Hermit, Confessor, III class","Com. of St. Maurus Abbot.","./1962/1/15/"
2019,16-1-2019,"Wednesday","III","","red","St. Marcellus I Pope and Martyr, III class.","","./1962/1/16/"
2019,17-1-2019,"Thursday","III","","white","St. Anthony Abbot, III class.","","./1962/1/17/"
2019,18-1-2019,"Friday","IV","","white","Feria","Commemoration of St. Prisca Virgin and Martyr, Comm.","./1962/1/18/"
2019,19-1-2019,"Saturday","IV","","white","Saturday of Our Lady","Commemoration of Ss. Marius, Martha, Audifax, and Abachum Martyrs, Comm., Com. of St. Canute, Martyr.","./1962/1/19/"
2019,20-1-2019,"Sunday","II","+","green","2nd Sunday after Epiphany","","./1962/Epiphany/2/Sunday/"
2019,21-1-2019,"Monday","III","","white","St. Agnes, Virgin and Martyr, III class","","./1962/1/21/"
2019,22-1-2019,"Tuesday","III","","red","Ss. Vincent and Anastasius Martyrs, III class.","","./1962/1/22/"
