"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2019,23-1-2019,"Wednesday","III","","white","St. Raymund of Peñafort Confessor, III class","Com. of St. Emerentiana Virgin and Martyr.","./1962/1/23/"
2019,24-1-2019,"Thursday","III","","red","St. Timothy Bishop and Martyr, III class.","","./1962/1/24/"
2019,25-1-2019,"Friday","III","","white","On the Conversion of St. Paul Apostle, III class","Com. of St. Peter Apostle.","./1962/1/25/"
2019,26-1-2019,"Saturday","III","","red","St. Polycarp Bishop and Martyr, III class.","","./1962/1/26/"
2019,27-1-2019,"Sunday","II","+","green","3rd Sunday after Epiphany","","./1962/Epiphany/3/Sunday/"
2019,28-1-2019,"Monday","III","","white","St. Peter Nolasco Confessor, III class","Com. of St. Agnes, Virgin and Martyr second.","./1962/1/28/"
2019,29-1-2019,"Tuesday","III","","white","St. Francis de Sales Bishop, Confessor, and Doctor of the Church, III class.","","./1962/1/29/"
2019,30-1-2019,"Wednesday","III","","red","St. Martina Virgin and Martyr, III class.","","./1962/1/30/"
2019,31-1-2019,"Thursday","III","","white","St. John Bosco Confessor, III class.","","./1962/1/31/"
2019,1-2-2019,"Friday","III","","red","St. Ignatius Bishop and Martyr, III class.","","./1962/2/1/"
2019,2-2-2019,"Saturday","II","","white","On the Purification of the Blessed Virgin Mary, II class.","","./1962/2/2/"
2019,3-2-2019,"Sunday","II","+","green","4th Sunday after Epiphany","","./1962/Epiphany/4/Sunday/"
2019,4-2-2019,"Monday","III","","white","St. Andrew Corsini Bishop and Confessor, III class.","","./1962/2/4/"
2019,5-2-2019,"Tuesday","III","","white","St. Agatha Virgin and Martyr, III class.","","./1962/2/5/"
2019,6-2-2019,"Wednesday","III","","white","St. Titus Bishop and Confessor, III class","Com. of St. Dorothy Virgin and Martyr.","./1962/2/6/"
2019,7-2-2019,"Thursday","III","","white","St. Romuald Abbot, III class.","","./1962/2/7/"
2019,8-2-2019,"Friday","III","","white","St. John of Matha Confessor, III class.","","./1962/2/8/"
2019,9-2-2019,"Saturday","III","","white","St. Cyril Bishop of Alexandria, Confessor, and Doctor of the Church, III class","Com. of St. Apollonia Virgin and Martyr.","./1962/2/9/"
2019,10-2-2019,"Sunday","II","+","green","5th Sunday after Epiphany","","./1962/Epiphany/5/Sunday/"
2019,11-2-2019,"Monday","III","","white","On the Apparition of the Blessed Virgin Mary Immaculate, III class.","","./1962/2/11/"
2019,12-2-2019,"Tuesday","III","","white","The Seven Holy Founders of the Order of Servants of the Blessed Virgin Mary Confessors, III class.","","./1962/2/12/"
2019,13-2-2019,"Wednesday","IV","","green","Feria","","./1962/Epiphany/1/Sunday/"
2019,14-2-2019,"Thursday","IV","","red","Feria","Commemoration of St. Valentine Priest and Martyr, Comm.","./1962/2/14/"
2019,15-2-2019,"Friday","IV","","green","Feria","Commemoration of Ss.Faustinus and Jovita Martyrs, Comm.","./1962/2/15/"
2019,16-2-2019,"Saturday","IV","","white","Saturday of Our Lady","","./1962/Epiphany/1/Sunday/"
2019,17-2-2019,"Sunday","II","+","violet","Septuagesima Sunday","","./1962/Septuagesima/"
2019,18-2-2019,"Monday","IV","","red","Feria","Commemoration of St. Simeon Bishop and Martyr, Comm.","./1962/2/18/"
2019,19-2-2019,"Tuesday","IV","","green","Feria","","./1962/2/19/"
2019,20-2-2019,"Wednesday","IV","","green","Feria","","./1962/2/20/"
2019,21-2-2019,"Thursday","IV","","green","Feria","","./1962/2/21/"
2019,22-2-2019,"Friday","II","","white","Chair of St. Peter, II class","Com. of St. Paul.","./1962/2/22/"
2019,23-2-2019,"Saturday","III","","white","St. Peter Damian Confessor, III class.","","./1962/2/23/"
2019,24-2-2019,"Sunday","II","+","violet","Sexagesima Sunday","","./1962/Sexagesima/"
2019,25-2-2019,"Monday","IV","","green","Feria","","./1962/2/25/"
2019,26-2-2019,"Tuesday","IV","","green","Feria","","./1962/2/26/"
2019,27-2-2019,"Wednesday","III","","white","St. Gabriel of Our Lady of Sorrows, III class","","./1962/2/27/"
2019,28-2-2019,"Thursday","IV","","green","Fat Thursday","","./1962/2/28/"
2019,1-3-2019,"Friday","IV","","green","Feria","","./1962/3/1/"
2019,2-3-2019,"Saturday","IV","","white","Saturday of Our Lady","","./1962/3/2/"
2019,3-3-2019,"Sunday","II","+","violet","Quinquagesima Sunday","","./1962/Quinquagesima/"
2019,4-3-2019,"Monday","III","","white","St. Casimir Confessor, III class","Shrove Monday","./1962/3/4/"
2019,5-3-2019,"Tuesday","IV","","green","Mardigras","","./1962/3/5/"
2019,6-3-2019,"Wednesday","I","+","violet","Ash Wednesday","","./1962/Lent/1/Wednesday/"
2019,7-3-2019,"Thursday","III","","violet","Thursday after Ash Wednesday","St. Thomas Aquinas Confessor and Doctor of the Church, III class.","./1962/Lent/Ash/Thursday/"
2019,8-3-2019,"Friday","III","","violet","Friday after Ash Wednesday","St. John of God Confessor, III class.","./1962/Lent/Ash/Friday/"
2019,9-3-2019,"Saturday","III","","violet","Saturday after Ash Wednesday","St. Frances of Rome Widow, III class.","./1962/Lent/Ash/Saturday/"
2019,10-3-2019,"Sunday","I","+","violet","1st Sunday of Lent","","./1962/Lent/1/Sunday/"
2019,11-3-2019,"Monday","III","","violet","Feria of Lent","","./1962/Lent/1/Monday/"
2019,12-3-2019,"Tuesday","III","","violet","Feria of Lent","St. Gregory I Pope, Confessor, and Doctor of the Church, III class.","./1962/Lent/1/Tuesday/"
2019,13-3-2019,"Wednesday","II","","violet","Ember Wednesday in Lent","","./1962/Lent/1/Wednesday/"
2019,14-3-2019,"Thursday","III","","violet","Feria of Lent","","./1962/Lent/1/Thursday/"
2019,15-3-2019,"Friday","II","","violet","Ember Friday in Lent","","./1962/Lent/1/Friday/"
2019,16-3-2019,"Saturday","II","","violet","Ember Saturday in Lent","","./1962/Lent/1/Saturday/"
2019,17-3-2019,"Sunday","I","+","violet","2nd Sunday of Lent","","./1962/Lent/2/Sunday/"
2019,18-3-2019,"Monday","III","","violet","Feria of Lent","St.Cyril Bishop of Jerusalem, Confessor, and Doctor of the Church, III class.","./1962/Lent/2/Monday/"
2019,19-3-2019,"Tuesday","I","+","white","St. Joseph, Spouse of the Blessed Virgin Mary, Confessor, and Patron of the Universal Church, I class.","","./1962/Lent/2/Tuesday/"
2019,20-3-2019,"Wednesday","III","","violet","Feria of Lent","","./1962/Lent/2/Wednesday/"
2019,21-3-2019,"Thursday","III","","violet","Feria of Lent","St. Benedict Abbot, III class.","./1962/Lent/2/Thursday/"
2019,22-3-2019,"Friday","III","","violet","Feria of Lent","","./1962/Lent/2/Friday/"
2019,23-3-2019,"Saturday","III","","violet","Feria of Lent","","./1962/Lent/2/Saturday/"
2019,24-3-2019,"Sunday","I","+","violet","3rd Sunday of Lent","","./1962/Lent/3/Sunday/"
2019,25-3-2019,"Monday","I","","white","Annunciation of the Blessed Virgin Mary, I class.","","./1962/Lent/3/Monday/"
2019,26-3-2019,"Tuesday","III","","violet","Feria of Lent","","./1962/Lent/3/Tuesday/"
2019,27-3-2019,"Wednesday","III","","violet","Feria of Lent","St. John Damascene Confessor and Doctor of the Church, III class","./1962/Lent/3/Wednesday/"
2019,28-3-2019,"Thursday","III","","violet","Feria of Lent","St. John Capistran Confessor, III class","./1962/Lent/3/Thursday/"
2019,29-3-2019,"Friday","III","","violet","Feria of Lent","","./1962/Lent/3/Friday/"
2019,30-3-2019,"Saturday","III","","violet","Feria of Lent","","./1962/Lent/3/Saturday/"
2019,31-3-2019,"Sunday","I","+","rose","Laetare Sunday","","./1962/Lent/4/Sunday/"
2019,1-4-2019,"Monday","III","","violet","Feria of Lent","","./1962/Lent/4/Monday/"
2019,2-4-2019,"Tuesday","III","","violet","Feria of Lent","St. Francis of Paula Confessor, III class.","./1962/Lent/4/Tuesday/"
2019,3-4-2019,"Wednesday","III","","violet","Feria of Lent","","./1962/Lent/4/Wednesday/"
2019,4-4-2019,"Thursday","III","","violet","Feria of Lent","St. Isidore Bishop, Confessor, and Doctor of the Church, III class.","./1962/Lent/4/Thursday/"
2019,5-4-2019,"Friday","III","","violet","Feria of Lent","St. Vincent Ferrer Confessor, III class.","./1962/Lent/4/Friday/"
2019,6-4-2019,"Saturday","III","","violet","Feria of Lent","","./1962/Lent/4/Saturday/"
2019,7-4-2019,"Sunday","I","+","violet","Passion Sunday","","./1962/Lent/5/Sunday/"
2019,8-4-2019,"Monday","III","","violet","Monday of Passion Week","","./1962/Lent/5/Monday/"
2019,9-4-2019,"Tuesday","III","","violet","Tuesday of Passion Week","","./1962/Lent/5/Tuesday/"
2019,10-4-2019,"Wednesday","III","","violet","Wednesday of Passion Week","","./1962/Lent/5/Wednesday/"
2019,11-4-2019,"Thursday","III","","violet","Thursday of Passion Week","St. Leo I Pope, Confessor, and Doctor of the Church, III class.","./1962/Lent/5/Thursday/"
2019,12-4-2019,"Friday","III","","violet","Friday of Passion Week","Feast of the Seven Sorrows of Mary","./1962/Lent/5/Friday/"
2019,13-4-2019,"Saturday","III","","violet","Saturday of Passion Week","St. Hermenegild Martyr, III class.","./1962/Lent/5/Saturday/"
2019,14-4-2019,"Sunday","I","+","violet","Palm Sunday of the Passion of the Lord","","./1962/Lent/6/Sunday/"
2019,15-4-2019,"Monday","I","","violet","Monday of Holy Week","","./1962/Lent/6/Monday/"
2019,16-4-2019,"Tuesday","I","","violet","Tuesday of Holy Week","","./1962/Lent/6/Tuesday/"
2019,17-4-2019,"Wednesday","I","","violet","Wednesday of Holy Week","","./1962/Lent/6/Wednesday/"
2019,18-4-2019,"Thursday","I","","violet","Maundy Thursday","","./1962/Lent/6/Thursday/"
2019,19-4-2019,"Friday","I","+","black","Friday of the Passion of the Lord","","./1962/Lent/6/Friday/"
2019,20-4-2019,"Saturday","I","","violet","Holy Saturday","","./1962/Lent/6/Saturday/"
2019,21-4-2019,"Sunday","I","+","white","Easter Sunday of the Resurrection of the Lord","","./1962/Easter/Sunday/"
2019,22-4-2019,"Monday","I","","white","Easter Monday","","./1962/Easter/Monday/"
2019,23-4-2019,"Tuesday","I","","white","Easter Tuesday","","./1962/Easter/Tuesday/"
2019,24-4-2019,"Wednesday","I","","white","Easter Wednesday","","./1962/Easter/Wednesday/"
2019,25-4-2019,"Thursday","I","","white","Easter Thursday","The Greater Litanies","./1962/Easter/Thursday/"
2019,26-4-2019,"Friday","I","","white","Easter Friday","","./1962/Easter/Friday/"
2019,27-4-2019,"Saturday","I","","white","Easter Saturday","","./1962/Easter/Saturday/"
2019,28-4-2019,"Sunday","I","+","white","Low Sunday","","./1962/Easter/1/Sunday/"
2019,29-4-2019,"Monday","III","","red","St. Peter Martyr, III class.","","./1962/4/29/"
2019,30-4-2019,"Tuesday","III","","white","St. Catherine of Siena Virgin, III class.","","./1962/4/30/"
2019,1-5-2019,"Wednesday","I","","white","St. Joseph the Workman, Spouse of the Blessed Virgin Mary, Confessor, I class.","","./1962/5/1/"
2019,2-5-2019,"Thursday","III","","white","St. Athanasius, Bishop, Confessor, and Doctor of the Church, III class.","","./1962/5/2/"
2019,3-5-2019,"Friday","IV","","white","Feria of Paschaltide","Commemoration of Ss. Alexander, Eventius and Theodulus Martyrs, and Juvenal, Bishop and Confessor, Comm.","./1962/5/3/"
2019,4-5-2019,"Saturday","III","","white","Votive Mass of the Immaculate Heart of the Blessed Virgin Mary (in Eastertide)","St. Monica Widow, III class.","./1962/5/4/"
2019,5-5-2019,"Sunday","II","+","white","Misericordia Sunday","","./1962/Easter/2/Sunday/"
2019,6-5-2019,"Monday","IV","","red","St. John before the Latin Gate.","","./1962/5/6/"
2019,7-5-2019,"Tuesday","III","","white","St. Stanislaus Bishop and Martyr, III class.","","./1962/5/7/"
2019,8-5-2019,"Wednesday","IV","","white","Feria of Paschaltide","","./1962/5/8/"
2019,9-5-2019,"Thursday","III","","white","St. Gregory Nazianzen Bishop, Confessor, and Doctor of the Church, III class.","","./1962/5/9/"
2019,10-5-2019,"Friday","III","","white","St. Antoninus Bishop and Confessor, III class","Com. of Ss. Gordian and Epimachus.","./1962/5/10/"
2019,11-5-2019,"Saturday","II","","red","Ss. Philip and James Apostles, II class.","","./1962/5/11/"
2019,12-5-2019,"Sunday","II","+","white","Jubilate Sunday","","./1962/Easter/3/Sunday/"
2019,13-5-2019,"Monday","III","","white","St. Robert Bellarmine Bishop, Confessor, and Doctor of the Church, III class.","","./1962/5/13/"
2019,14-5-2019,"Tuesday","IV","","white","Feria of Paschaltide","Commemoration of St. Boniface Martyr, Comm.","./1962/5/14/"
2019,15-5-2019,"Wednesday","III","","white","St. John Baptist de la Salle Confessor, III class.","","./1962/5/15/"
2019,16-5-2019,"Thursday","III","","white","St. Ubald Bishop and Confessor, III class.","","./1962/5/16/"
2019,17-5-2019,"Friday","III","","white","St. Paschal Baylon Confessor, III class.","","./1962/5/17/"
2019,18-5-2019,"Saturday","III","","red","St. Venantius Martyr, III class.","","./1962/5/18/"
2019,19-5-2019,"Sunday","II","+","white","Cantate Sunday","","./1962/Easter/4/Sunday/"
2019,20-5-2019,"Monday","III","","white","St. Bernardine of Siena Confessor, III class.","","./1962/5/20/"
2019,21-5-2019,"Tuesday","IV","","white","Feria of Paschaltide","","./1962/Easter/4/Sunday/"
2019,22-5-2019,"Wednesday","IV","","white","Feria of Paschaltide","","./1962/Easter/4/Sunday/"
2019,23-5-2019,"Thursday","IV","","white","Feria of Paschaltide","","./1962/Easter/4/Sunday/"
2019,24-5-2019,"Friday","IV","","white","Feria of Paschaltide","","./1962/Easter/4/Sunday/"
2019,25-5-2019,"Saturday","III","","white","St. Gregory VII Pope and Confessor, III class","Com. of St. Urban I Pope and Martyr.","./1962/5/25/"
2019,26-5-2019,"Sunday","II","+","white","5th Sunday after Easter","","./1962/Easter/5/Sunday/"
2019,27-5-2019,"Monday","II","","violet","Minor Rogation","","./1962/Easter/5/Rogation/"
2019,28-5-2019,"Tuesday","II","","violet","Minor Rogation","","./1962/Easter/5/Rogation/"
2019,29-5-2019,"Wednesday","II","","violet","Minor Rogation","Vigil of the Ascension","./1962/Easter/5/Rogation/"
2019,30-5-2019,"Thursday","I","+","white","Ascension of the Lord","","./1962/Ascension/Thursday/"
2019,31-5-2019,"Friday","II","","white","Blessed Virgin Mary, Queen, II class","Com. of St. Petronilla Virgin.","./1962/5/31/"
2019,1-6-2019,"Saturday","III","","white","St. Angela Merici Virgin, III class.","","./1962/6/1/"
2019,2-6-2019,"Sunday","II","+","white","Sunday after the Ascension of the Lord","","./1962/Ascension/Sunday/"
2019,3-6-2019,"Monday","IV","","white","Feria of Paschaltide","","./1962/Ascension/Feria/"
2019,4-6-2019,"Tuesday","III","","white","St. Francis Caracciolo Confessor, III class.","","./1962/6/4/"
2019,5-6-2019,"Wednesday","III","","red","St. Boniface Bishop and Martyr, III class.","","./1962/6/5/"
2019,6-6-2019,"Thursday","III","","white","St. Norbert Bishop and Confessor, III class.","","./1962/6/6/"
2019,7-6-2019,"Friday","IV","","white","Feria of Paschaltide","","./1962/Ascension/Feria/"
2019,8-6-2019,"Saturday","I","","red","Vigil Mass of Pentecost","","./1962/Ascension/Feria/"
2019,9-6-2019,"Sunday","I","+","red","Pentecost Sunday","","./1962/Pentecost/Sunday/"
2019,10-6-2019,"Monday","I","","red","Pentecost Monday","","./1962/Pentecost/Whit/Monday/"
2019,11-6-2019,"Tuesday","I","","red","Pentecost Tuesday","","./1962/Pentecost/Whit/Tuesday/"
2019,12-6-2019,"Wednesday","I","","red","Ember Wednesday of Pentecost","","./1962/Pentecost/Whit/Wednesday/"
2019,13-6-2019,"Thursday","I","","red","Thursday in Pentecost Week","","./1962/Pentecost/Whit/Thursday/"
2019,14-6-2019,"Friday","I","","red","Ember Friday of Pentecost","","./1962/Pentecost/Whit/Friday/"
2019,15-6-2019,"Saturday","I","","red","Ember Saturday of Pentecost","","./1962/Pentecost/Whit/Saturday/"
2019,16-6-2019,"Sunday","I","+","white","Trinity Sunday","","./1962/Pentecost/TrinitySunday/"
2019,17-6-2019,"Monday","III","","white","St. Gregory Barbarigo Bishop and Confessor, III class.","","./1962/6/17/"
2019,18-6-2019,"Tuesday","III","","white","St. Ephraem Syrus Deacon, Confessor, and Doctor of the Church, III class","Com. of Ss. Mark and Marcellianus Martyrs.","./1962/6/18/"
2019,19-6-2019,"Wednesday","III","","white","St. Juliana Falconieri Virgin, III class","Com. of Ss. Gervase and Protase Martyrs.","./1962/6/19/"
2019,20-6-2019,"Thursday","I","+","white","Corpus Christi","","./1962/Pentecost/CorpusChristi/"
2019,21-6-2019,"Friday","III","","white","St. Aloysius Gonzaga Confessor, III class.","","./1962/6/21/"
2019,22-6-2019,"Saturday","III","","white","St. Paulinus Bishop and Confessor, III class","","./1962/6/22/"
2019,23-6-2019,"Sunday","II","+","white","2nd Sunday After Pentecost","Vigil, II class.","./1962/Pentecost/2/Sunday/"
2019,24-6-2019,"Monday","I","","white","On the Nativity of St. John the Baptist, I class.","","./1962/6/24/"
2019,25-6-2019,"Tuesday","III","","white","St. William Abbot, III class.","","./1962/6/25/"
2019,26-6-2019,"Wednesday","III","","red","Ss. John and Paul Martyrs, III class.","","./1962/6/26/"
2019,27-6-2019,"Thursday","IV","","green","Feria","","./1962/6/27/"
2019,28-6-2019,"Friday","I","+","green","The Most Sacred Heart of Jesus","","./1962/Pentecost/SacredHeartofJesus/"
2019,29-6-2019,"Saturday","I","+","red","Ss. Peter and Paul Apostles, I class.","","./1962/6/29/"
2019,30-6-2019,"Sunday","II","+","green","3rd Sunday After Pentecost","","./1962/Pentecost/3/Sunday/"
2019,1-7-2019,"Monday","I","","white","The Most Precious Blood of our Lord Jesus Christ, I class.","","./1962/7/1/"
2019,2-7-2019,"Tuesday","II","","white","On the Visitation of the Blessed Virgin Mary, II class","Com. of Ss. Processus and Martinian Martyrs.","./1962/7/2/"
2019,3-7-2019,"Wednesday","III","","white","St. Irenaeus Bishop and Martyr, III class.","","./1962/7/3/"
2019,4-7-2019,"Thursday","IV","","green","Feria","","./1962/7/4/"
2019,5-7-2019,"Friday","III","","white","St. Anthony Mary Zaccaria Confessor, III class.","","./1962/7/5/"
2019,6-7-2019,"Saturday","IV","","white","Saturday of Our Lady","","./1962/7/6/"
2019,7-7-2019,"Sunday","II","+","green","4th Sunday After Pentecost","","./1962/Pentecost/4/Sunday/"
2019,8-7-2019,"Monday","III","","white","St. Elizabeth Queen, Widow, III class.","","./1962/7/8/"
2019,9-7-2019,"Tuesday","IV","","green","Feria","","./1962/7/9/"
2019,10-7-2019,"Wednesday","III","","red","The Seven Holy Brothers Martyrs, and Ss. Rufina and Secunda Virgins and Martyrs, III class.","","./1962/7/10/"
2019,11-7-2019,"Thursday","IV","","green","Feria","Commemoration of St. Pius I Pope and Martyr, Comm.","./1962/7/11/"
2019,12-7-2019,"Friday","III","","white","St. John Gualbert Abbot, III class","Com. of Ss. Nabor and Felix Martyrs.","./1962/7/12/"
2019,13-7-2019,"Saturday","IV","","white","Saturday of Our Lady","","./1962/7/13/"
2019,14-7-2019,"Sunday","II","+","green","5th Sunday After Pentecost","","./1962/Pentecost/5/Sunday/"
2019,15-7-2019,"Monday","III","","white","St. Henry II Emperor, Confessor, III class.","","./1962/7/15/"
2019,16-7-2019,"Tuesday","IV","","red","Feria","Commemoration of the Blessed Virgin Mary of Mt. Carmel, Comm.","./1962/7/16/"
2019,17-7-2019,"Wednesday","IV","","green","Feria","Commemoration of St. Alexius Confessor, Comm.","./1962/7/17/"
2019,18-7-2019,"Thursday","III","","white","St. Camillus de Lellis Confessor, III class","Com. of St. Symphorosa and her seven Sons Martyrs.","./1962/7/18/"
2019,19-7-2019,"Friday","III","","white","St. Vincent de Paul Confessor, III class.","","./1962/7/19/"
2019,20-7-2019,"Saturday","III","","white","St. Jerome Emiliani Confessor, III class","Com. of St. Margaret Virgin Martyr.","./1962/7/20/"
2019,21-7-2019,"Sunday","II","+","green","6th Sunday After Pentecost","","./1962/Pentecost/6/Sunday/"
2019,22-7-2019,"Monday","III","","white","St. Mary Magdalene Penitent, III class.","","./1962/7/22/"
2019,23-7-2019,"Tuesday","III","","red","St. Apollinaris Martyr, III class","Com. of St. Liborius Bishop and Confessor.","./1962/7/23/"
2019,24-7-2019,"Wednesday","IV","","green","Feria","Commemoration of St. Christina Virgin and Martyr.","./1962/7/24/"
2019,25-7-2019,"Thursday","II","","red","St. James Apostle, II class","Com. of St. Christopher Martyr.","./1962/7/25/"
2019,26-7-2019,"Friday","II","","white","St. Anne Mother of the Blessed Virgin Mary, II class.","","./1962/7/26/"
2019,27-7-2019,"Saturday","IV","","white","Saturday of Our Lady","Commemoration of St. Pantaleon Martyr, Comm.","./1962/7/27/"
2019,28-7-2019,"Sunday","II","+","green","7th Sunday After Pentecost","","./1962/Pentecost/7/Sunday/"
2019,29-7-2019,"Monday","III","","white","St. Martha Virgin, III class","Com. of Ss. Felix, Simplicius, Faustinus, and Beatrice Martyrs.","./1962/7/29/"
2019,30-7-2019,"Tuesday","IV","","red","Feria","Commemoration of Ss. Abdon and Sennen Martyrs, Comm.","./1962/7/30/"
2019,31-7-2019,"Wednesday","III","","white","St. Ignatius Confessor, III class.","","./1962/7/31/"
2019,1-8-2019,"Thursday","IV","","green","Feria","Commemoration of the Holy Machabees Martyrs, Comm.","./1962/8/1/"
2019,2-8-2019,"Friday","III","","white","St. Alphonsus Mary of Liguori Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Stephen I Pope and Martyr.","./1962/8/2/"
2019,3-8-2019,"Saturday","IV","","white","Saturday of Our Lady","","./1962/8/3/"
2019,4-8-2019,"Sunday","II","+","green","8th Sunday After Pentecost","","./1962/Pentecost/8/Sunday/"
2019,5-8-2019,"Monday","III","","white","On the Dedication of Our Lady of the Snows, III class.","","./1962/8/5/"
