"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2020,10-10-2020,"Saturday","III","","white","St. Francis Borgia Confessor, III class.","","./1962/10/10/"
2020,11-10-2020,"Sunday","II","+","white","19th Sunday After Pentecost","The Maternity of the Blessed Virgin Mary, II class.","./1962/Pentecost/19/Sunday/"
2020,12-10-2020,"Monday","IV","","green","Feria","","./1962/10/12/"
2020,13-10-2020,"Tuesday","III","","white","St. Edward King, Confessor, III class.","","./1962/10/13/"
2020,14-10-2020,"Wednesday","III","","red","St. Callistus I Pope and Martyr, III class.","","./1962/10/14/"
2020,15-10-2020,"Thursday","III","","white","St. Teresa Virgin, III class.","","./1962/10/15/"
2020,16-10-2020,"Friday","III","","white","St. Hedwig Widow, III class.","","./1962/10/16/"
2020,17-10-2020,"Saturday","III","","white","St. Margaret Mary Alacoque Virgin, III class.","","./1962/10/17/"
2020,18-10-2020,"Sunday","II","+","red","20th Sunday After Pentecost","St. Luke Evangelist, II class.","./1962/Pentecost/20/Sunday/"
2020,19-10-2020,"Monday","III","","white","St. Peter of Alcantara Confessor, III class.","","./1962/10/19/"
2020,20-10-2020,"Tuesday","III","","white","St. John Cantius Confessor, III class.","","./1962/10/20/"
2020,21-10-2020,"Wednesday","IV","","green","Feria","Commemoration of St. Hilarion Abbot, Comm.","./1962/10/21/"
2020,22-10-2020,"Thursday","IV","","green","Feria","","./1962/10/22/"
2020,23-10-2020,"Friday","III","","white","St. Anthony Mary Claret Bishop and Confessor, III class.","","./1962/10/23/"
2020,24-10-2020,"Saturday","III","","white","St. Raphael Archangel, III class.","","./1962/10/24/"
2020,25-10-2020,"Sunday","I","+","white","Feast of Christ the King","","./1962/Pentecost/ChristusRex/"
2020,26-10-2020,"Monday","IV","","green","Feria","Commemoration of St. Evaristus Pope and Martyr, Comm.","./1962/10/26/"
2020,27-10-2020,"Tuesday","IV","","green","Feria","","./1962/10/27/"
2020,28-10-2020,"Wednesday","II","","red","Ss. Simon and Jude Apostles, II class.","","./1962/10/28/"
2020,29-10-2020,"Thursday","IV","","green","Feria","","./1962/10/29/"
2020,30-10-2020,"Friday","IV","","green","Feria","","./1962/10/30/"
2020,31-10-2020,"Saturday","IV","","white","Saturday of Our Lady","","./1962/10/31/"
2020,1-11-2020,"Sunday","I","+","white","All Saints, I class.","22nd Sunday After Pentecost","./1962/Pentecost/22/Sunday/"
2020,2-11-2020,"Monday","I","","black","Commemoration of all the Faithful Departed","","./1962/11/2/"
2020,3-11-2020,"Tuesday","III","","black","Daily Mass for the Dead - For All the Faithful Departed","","./1962/11/3/"
2020,4-11-2020,"Wednesday","III","","black","Daily Mass for the Dead - For All the Faithful Departed","","./1962/11/4/"
2020,5-11-2020,"Thursday","III","","black","Daily Mass for the Dead - For All the Faithful Departed","","./1962/11/5/"
2020,6-11-2020,"Friday","III","","black","Daily Mass for the Dead - For All the Faithful Departed","","./1962/11/6/"
2020,7-11-2020,"Saturday","IV","","white","Saturday of Our Lady","","./1962/11/7/"
2020,8-11-2020,"Sunday","II","+","green","23rd Sunday After Pentecost","","./1962/Pentecost/23/Sunday/"
2020,9-11-2020,"Monday","II","","white","On the Dedication of the Archbasilica of the most Holy Saviour, II class","Com. of St. Theodore Martyr.","./1962/11/9/"
2020,10-11-2020,"Tuesday","III","","white","St. Andrew Avellino Confessor, III class","Com. of Ss. Tryphon, Respicius, and Nympha Martyrs.","./1962/11/10/"
2020,11-11-2020,"Wednesday","III","","white","St. Martin Bishop and Confessor, III class","Com. of St. Mennas Martyr.","./1962/11/11/"
2020,12-11-2020,"Thursday","III","","white","St. Martin I Pope and Martyr, III class.","","./1962/11/12/"
2020,13-11-2020,"Friday","III","","white","St. Didacus Confessor, III class.","","./1962/11/13/"
2020,14-11-2020,"Saturday","III","","red","St. Josaphat Bishop and Martyr, III class.","","./1962/11/14/"
2020,15-11-2020,"Sunday","II","+","green","Resumed 6th Sunday after Epiphany","","./1962/Epiphany/Resumed/6/Sunday/"
2020,16-11-2020,"Monday","III","","white","St. Gertrude Virgin, III class.","","./1962/11/16/"
2020,17-11-2020,"Tuesday","III","","white","St. Gregory Thaumaturgus Bishop and Confessor, III class.","","./1962/11/17/"
2020,18-11-2020,"Wednesday","III","","white","On the Dedication of the Basilicas of Ss. Peter and Paul, III class.","","./1962/11/18/"
2020,19-11-2020,"Thursday","III","","white","St. Elizabeth Widow, III class","Com. of St. Pontianus Pope and Martyr.","./1962/11/19/"
2020,20-11-2020,"Friday","III","","white","St. Felix of Valois Confessor, III class.","","./1962/11/20/"
2020,21-11-2020,"Saturday","III","","white","On the Presentation of the Blessed Virgin Mary, III class.","","./1962/11/21/"
2020,22-11-2020,"Sunday","II","+","green","24th and Last Sunday after Pentecost","","./1962/Pentecost/Last/Sunday/"
2020,23-11-2020,"Monday","III","","red","St. Clement I Pope and Martyr, III class","Com. of St. Felicitas Martyr.","./1962/11/23/"
2020,24-11-2020,"Tuesday","III","","white","St. John of the Cross Confessor and Doctor of the Church, III class","Com. of St. Chrysogonus Martyr.","./1962/11/24/"
2020,25-11-2020,"Wednesday","III","","white","St. Catherine Virgin and Martyr, III class.","","./1962/11/25/"
2020,26-11-2020,"Thursday","III","","white","St. Sylvester Abbot, III class","Com. of St. Peter of Alexandria Bishop and Martyr.","./1962/11/26/"
2020,27-11-2020,"Friday","IV","","green","Feria","","./1962/11/27/"
2020,28-11-2020,"Saturday","IV","","white","Saturday of Our Lady","","./1962/11/28/"
