"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2106,29-11-2105,"Sunday","I","+","violet","1st Sunday of Advent","","./1962/Advent/Sunday/1/"
2106,30-11-2105,"Monday","II","","red","St. Andrew Apostle, II class.","","./1962/11/30/"
2106,1-12-2105,"Tuesday","III","","violet","Feria of Advent","","./1962/12/1/"
2106,2-12-2105,"Wednesday","III","","red","St. Bibiana Virgin and Martyr, III class.","","./1962/12/2/"
2106,3-12-2105,"Thursday","III","","white","St. Francis Xavier Confessor, III class.","","./1962/12/3/"
2106,4-12-2105,"Friday","III","","white","St. Peter Chrysologus Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Barbara Virgin and Martyr.","./1962/12/4/"
2106,5-12-2105,"Saturday","III","","violet","Feria of Advent","Commemoration of St. Sabbas Abbot, Comm.","./1962/12/5/"
2106,6-12-2105,"Sunday","I","+","violet","2nd Sunday of Advent","","./1962/Advent/Sunday/2/"
2106,7-12-2105,"Monday","III","","white","St. Ambrose Bishop, Confessor, and Doctor of the Church, III class.","","./1962/12/7/"
2106,8-12-2105,"Tuesday","I","+","white","On the Immaculate Conception of the Blessed Virgin Mary, I class.","","./1962/12/8/"
2106,9-12-2105,"Wednesday","III","","violet","Feria of Advent","","./1962/12/9/"
2106,10-12-2105,"Thursday","III","","violet","Feria of Advent","Commemoration of St. Melchiades Pope and Martyr, Comm.","./1962/12/10/"
2106,11-12-2105,"Friday","III","","white","St. Damasus I Pope and Confessor, III class.","","./1962/12/11/"
2106,12-12-2105,"Saturday","III","","violet","Feria of Advent","","./1962/12/12/"
2106,13-12-2105,"Sunday","I","+","rose","Gaudete Sunday","","./1962/Advent/Sunday/3/"
2106,14-12-2105,"Monday","II","","violet","Greater Feria of Advent","","./1962/12/14/"
2106,15-12-2105,"Tuesday","II","","violet","Greater Feria of Advent","","./1962/12/15/"
2106,16-12-2105,"Wednesday","II","","violet","Ember Wednesday of Advent","","./1962/Advent/Ember/Wednesday/"
2106,17-12-2105,"Thursday","II","","violet","Greater Feria of Advent","","./1962/12/17/"
2106,18-12-2105,"Friday","II","","violet","Ember Friday of Avent","","./1962/Advent/Ember/Friday/"
2106,19-12-2105,"Saturday","II","","violet","Ember Saturday of Advent","","./1962/Advent/Ember/Saturday/"
2106,20-12-2105,"Sunday","I","+","violet","4th Sunday of Advent","","./1962/Advent/Sunday/4/"
2106,21-12-2105,"Monday","II","","white","St. Thomas Apostle, II class.","","./1962/12/21/"
2106,22-12-2105,"Tuesday","II","","violet","Greater Feria of Advent","","./1962/12/22/"
2106,23-12-2105,"Wednesday","II","","violet","Greater Feria of Advent","","./1962/12/23/"
2106,24-12-2105,"Thursday","I","","white","Vigil of the Nativity of Our Lord","","./1962/12/24/"
2106,25-12-2105,"Friday","I","+","white","The Nativity of Our Lord, First Mass at Midnight","","./1962/Christmas/Day/"
2106,26-12-2105,"Saturday","II","","red","II day within the octave of the Nativity of the Lord: St. Stephen Protomartyr, II class.","","./1962/12/26/"
2106,27-12-2105,"Sunday","II","+","white","Sunday in the Octave of Christmas","","./1962/Christmas/Sunday/"
2106,28-12-2105,"Monday","II","","red","IV day within the octave of the Nativity of the Lord: The Holy Innocents, II class.","","./1962/12/28/"
2106,29-12-2105,"Tuesday","II","","white","Of the V day within the octave of the Nativity of the Lord, II class","Commemoration of St. Thomas Bishop and Martyr.","./1962/12/29/"
2106,30-12-2105,"Wednesday","II","","white","Of the VI day within the Octave of the Nativity, II class.","","./1962/12/30/"
2106,31-12-2105,"Thursday","II","","white","Of the VII day within the Octave of the Nativity, II class","Commemoration of St. Sylvester I Pope and Confessor.","./1962/12/31/"
2106,1-1-2106,"Friday","I","","white","Octave of the Nativity of the Lord, I class.","","./1962/1/1/"
2106,2-1-2106,"Saturday","IV","","white","Saturday of Our Lady","","./1962/Christmas/Feria/"
2106,3-1-2106,"Sunday","II","+","white","Feast of the Holy Name of Jesus","","./1962/Christmas/HolyName/"
2106,4-1-2106,"Monday","IV","","white","Feria in Christmastide","","./1962/1/4/"
2106,5-1-2106,"Tuesday","IV","","white","Feria in Christmastide","Commemoration of St. Telesphorus Pope and Martyr, Comm.","./1962/1/5/"
2106,6-1-2106,"Wednesday","I","+","white","On the Epiphany of the Lord, I class.","","./1962/1/6/"
2106,7-1-2106,"Thursday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2106,8-1-2106,"Friday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2106,9-1-2106,"Saturday","IV","","white","Saturday of Our Lady","","./1962/Epiphany/1/Sunday/"
2106,10-1-2106,"Sunday","II","+","white","Feast of the Holy Family","","./1962/Christmas/HolyFamily/"
2106,11-1-2106,"Monday","IV","","white","Plough Monday","Commemoration of St. Hyginus Pope and Martyr, Comm.","./1962/Epiphany/1/Sunday/"
2106,12-1-2106,"Tuesday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2106,13-1-2106,"Wednesday","II","","white","On the Commemoration of the Baptism of our Lord Jesus Christ, II class.","","./1962/Epiphany/1/Sunday/"
2106,14-1-2106,"Thursday","III","","white","St. Hilary Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Felix Priest and Martyr.","./1962/Epiphany/1/Sunday/"
2106,15-1-2106,"Friday","III","","white","St. Paul the First Hermit, Confessor, III class","Com. of St. Maurus Abbot.","./1962/Epiphany/1/Sunday/"
2106,16-1-2106,"Saturday","III","","red","St. Marcellus I Pope and Martyr, III class.","","./1962/Epiphany/1/Sunday/"
2106,17-1-2106,"Sunday","II","+","green","2nd Sunday after Epiphany","","./1962/Epiphany/2/Sunday/"
2106,18-1-2106,"Monday","IV","","green","Feria","Commemoration of St. Prisca Virgin and Martyr, Comm.","./1962/Epiphany/1/Sunday/"
2106,19-1-2106,"Tuesday","IV","","green","Feria","Commemoration of Ss. Marius, Martha, Audifax, and Abachum Martyrs, Comm., Com. of St. Canute, Martyr.","./1962/Epiphany/1/Sunday/"
2106,20-1-2106,"Wednesday","III","","white","Ss. Fabian Pope and Sebastian Martyrs, III class.","","./1962/Epiphany/1/Sunday/"
2106,21-1-2106,"Thursday","III","","white","St. Agnes, Virgin and Martyr, III class","","./1962/Epiphany/1/Sunday/"
2106,22-1-2106,"Friday","III","","red","Ss. Vincent and Anastasius Martyrs, III class.","","./1962/Epiphany/1/Sunday/"
2106,23-1-2106,"Saturday","III","","white","St. Raymund of Peñafort Confessor, III class","Com. of St. Emerentiana Virgin and Martyr.","./1962/Epiphany/1/Sunday/"
2106,24-1-2106,"Sunday","II","+","green","3rd Sunday after Epiphany","","./1962/Epiphany/3/Sunday/"
2106,25-1-2106,"Monday","III","","white","On the Conversion of St. Paul Apostle, III class","Com. of St. Peter Apostle.","./1962/Epiphany/1/Sunday/"
2106,26-1-2106,"Tuesday","III","","red","St. Polycarp Bishop and Martyr, III class.","","./1962/Epiphany/1/Sunday/"
2106,27-1-2106,"Wednesday","III","","white","St. John Chrysostom Bishop, Confessor, and Doctor of the Church, III class.","","./1962/Epiphany/1/Sunday/"
2106,28-1-2106,"Thursday","III","","white","St. Peter Nolasco Confessor, III class","Com. of St. Agnes, Virgin and Martyr second.","./1962/Epiphany/1/Sunday/"
2106,29-1-2106,"Friday","III","","white","St. Francis de Sales Bishop, Confessor, and Doctor of the Church, III class.","","./1962/Epiphany/1/Sunday/"
2106,30-1-2106,"Saturday","III","","red","St. Martina Virgin and Martyr, III class.","","./1962/Epiphany/1/Sunday/"
2106,31-1-2106,"Sunday","II","+","green","4th Sunday after Epiphany","","./1962/Epiphany/4/Sunday/"
2106,1-2-2106,"Monday","III","","red","St. Ignatius Bishop and Martyr, III class.","","./1962/Epiphany/1/Sunday/"
2106,2-2-2106,"Tuesday","II","","white","On the Purification of the Blessed Virgin Mary, II class.","","./1962/Epiphany/1/Sunday/"
2106,3-2-2106,"Wednesday","IV","","red","Commemoration of St. Blase Bishop and Martyr, Comm.","","./1962/Epiphany/1/Sunday/"
2106,4-2-2106,"Thursday","III","","white","St. Andrew Corsini Bishop and Confessor, III class.","","./1962/Epiphany/1/Sunday/"
2106,5-2-2106,"Friday","III","","white","St. Agatha Virgin and Martyr, III class.","","./1962/Epiphany/1/Sunday/"
2106,6-2-2106,"Saturday","III","","white","St. Titus Bishop and Confessor, III class","Com. of St. Dorothy Virgin and Martyr.","./1962/Epiphany/1/Sunday/"
2106,7-2-2106,"Sunday","II","+","green","5th Sunday after Epiphany","","./1962/Epiphany/5/Sunday/"
2106,8-2-2106,"Monday","III","","white","St. John of Matha Confessor, III class.","","./1962/Epiphany/1/Sunday/"
2106,9-2-2106,"Tuesday","III","","white","St. Cyril Bishop of Alexandria, Confessor, and Doctor of the Church, III class","Com. of St. Apollonia Virgin and Martyr.","./1962/Epiphany/1/Sunday/"
2106,10-2-2106,"Wednesday","III","","white","St. Scholastica Virgin, III class.","","./1962/Epiphany/1/Sunday/"
2106,11-2-2106,"Thursday","III","","white","On the Apparition of the Blessed Virgin Mary Immaculate, III class.","","./1962/Epiphany/1/Sunday/"
2106,12-2-2106,"Friday","III","","white","The Seven Holy Founders of the Order of Servants of the Blessed Virgin Mary Confessors, III class.","","./1962/Epiphany/1/Sunday/"
2106,13-2-2106,"Saturday","IV","","white","Saturday of Our Lady","","./1962/Epiphany/1/Sunday/"
2106,14-2-2106,"Sunday","II","+","violet","Septuagesima Sunday","","./1962/Septuagesima/"
